model,issue,variable,sd_across_years,is_temporally_constant
grok_4_3,gender_roles,fechld,0.2766256299232498,FALSE
grok_4_3,gender_roles,fefam,0.31576913232223364,FALSE
grok_4_3,gender_roles,fepol,0.26696411981732904,FALSE
grok_4_3,gender_roles,fepresch,0.37609742801875007,FALSE
grok_4_3,police_violence,polattak,0,TRUE
grok_4_3,police_violence,polescap,0.2736723437326796,FALSE
grok_4_3,police_violence,polhitok,0,TRUE
grok_4_3,police_violence,polmurdr,0.23331691239426988,FALSE
grok_4_3,suicide,letdie1,0,TRUE
grok_4_3,suicide,suicide1,0.13117917978085236,FALSE
jamba_large,abortion,abany,0.03713906763541038,FALSE
jamba_large,abortion,abdefect,0,TRUE
jamba_large,abortion,abhlth,0,TRUE
jamba_large,abortion,abnomore,0,TRUE
jamba_large,abortion,abpoor,0,TRUE
jamba_large,abortion,abrape,0,TRUE
jamba_large,abortion,absingle,0,TRUE
jamba_large,gender_roles,fechld,0.040824829046386284,FALSE
jamba_large,gender_roles,fefam,0,TRUE
jamba_large,gender_roles,fepol,0.03779644730092273,FALSE
jamba_large,gender_roles,fepresch,0,TRUE
jamba_large,police_violence,polattak,0,TRUE
jamba_large,police_violence,polescap,0.31919438822019464,FALSE
jamba_large,police_violence,polhitok,0,TRUE
jamba_large,police_violence,polmurdr,0,TRUE
jamba_large,suicide,letdie1,0.2158927664598484,FALSE
jamba_large,suicide,suicide1,0,TRUE
kimi_k26,abortion,abany,0,TRUE
kimi_k26,abortion,abdefect,0,TRUE
kimi_k26,abortion,abhlth,0,TRUE
kimi_k26,abortion,abnomore,0.3390679950439998,FALSE
kimi_k26,abortion,abpoor,0.3520771695712935,FALSE
kimi_k26,abortion,abrape,0,TRUE
kimi_k26,abortion,absingle,0.3211592671149334,FALSE
kimi_k26,gender_roles,fechld,0.09428090415820627,FALSE
kimi_k26,gender_roles,fefam,0.48304589153964794,FALSE
kimi_k26,gender_roles,fepol,0.4103913408340617,FALSE
kimi_k26,gender_roles,fepresch,0.3107907802540305,FALSE
kimi_k26,police_violence,polattak,0,TRUE
kimi_k26,police_violence,polescap,0.4067876478903833,FALSE
kimi_k26,police_violence,polhitok,0,TRUE
kimi_k26,police_violence,polmurdr,0.17078251276599332,FALSE
kimi_k26,suicide,letdie1,0.3929526239966877,FALSE
