year,prop_abdefect,prop_abnomore,prop_abhlth,prop_abpoor,prop_abrape,prop_absingle,prop_abany,prop_letdie1,prop_suicide1,prop_polhitok,prop_polmurdr,prop_polescap,prop_polattak,prop_fepol_num,prop_grass_num,prop_cappun_num,mean_homosex_num,mean_fefam_num,mean_fechld_num,mean_fepresch_num
1987,0.7798165137614679,0.40987370838117104,0.8791523482245132,0.44661308840413316,0.7958357432041643,0.40114613180515757,0.392485549132948,NA,NA,0.726099706744868,0.09670079635949944,0.776608187134503,0.9287317620650954,NA,NA,0.6919881305637983,1.5142857142857142,NA,NA,NA
1988,0.788135593220339,0.3993677555321391,0.8874734607218684,0.4197662061636557,0.8106060606060606,0.3937768240343348,0.3611111111111111,0.6930481283422459,0.5200845665961945,0.7624602332979852,0.08650875386199794,0.7980972515856237,0.9357142857142857,0.33263157894736844,NA,0.7611070648215587,1.544290288153682,2.6524896265560165,2.2210849539406348,2.5202072538860105
1989,0.8130653266331658,0.4450050454086781,0.901296111665005,0.47681451612903225,0.8324924318869829,0.45380710659898477,0.4034378159757331,0.6865203761755486,0.49007314524555906,0.7494780793319415,0.08059701492537313,0.7922998986828774,0.9459724950884086,0.3035143769968051,NA,0.7829993089149966,1.6326530612244898,2.661207778915046,2.214141414141414,2.526694045174538
1990,0.8125,0.45051194539249145,0.9177001127395716,0.48092485549132946,0.847651775486827,0.45298165137614677,0.43443557582668185,0.7232346241457859,0.5945017182130584,0.735399284862932,0.1158256880733945,0.7763466042154566,0.9431818181818182,0.26927502876869963,NA,0.7940717628705148,1.555045871559633,2.6692563817980024,2.225841476655809,2.511111111111111
1991,0.8347457627118644,0.4463157894736842,0.9151832460732985,0.4846560846560847,0.8645502645502645,0.44842105263157894,0.42586750788643535,0.7381930184804928,0.5866261398176292,0.6842650103519669,0.06659939455095863,0.7244258872651357,0.9152371342078708,0.2618069815195072,NA,0.7623762376237624,1.6090712742980562,2.673694779116466,2.2106824925816024,2.5301204819277108
1993,0.8131655372700871,0.47105004906771347,0.8978599221789884,0.4985279685966634,0.8292682926829268,0.4812623274161736,0.4534653465346535,0.6830225711481845,0.5949367088607594,0.7669322709163346,0.072195121951219507,0.7624254473161034,0.9353281853281853,0.21274509803921568,NA,0.7735215053763441,1.8507905138339922,2.7485768500948766,2.1881467544684856,2.595419847328244
1994,0.8229491173416407,0.4831168831168831,0.90641158221303,0.5044155844155844,0.8355739400206825,0.4762641898864809,0.4627714581178904,0.7129877071084981,0.6462113127001067,0.73309241094476,0.06921119592875317,0.7806788511749347,0.9409984871406959,0.20913978494623656,NA,0.7924865831842576,1.8625265392781316,2.7635699373695197,2.1196098562628336,2.6115702479338845
1996,0.8183783783783783,0.4673972602739726,0.9156756756756756,0.46612021857923497,0.8428493746601414,0.44868995633187775,0.4497528830313015,0.7080447522642515,0.6438945669714901,0.7004909983633388,0.048728813559322036,0.7179769103903244,0.9266490765171504,0.21864951768488747,NA,0.7682835820895523,2.0213004484304933,2.716107097322567,2.1675720852486418,2.560580204778157
1998,0.7861111111111111,0.4232272473478504,0.878619153674833,0.44251261918115536,0.8012249443207127,0.4229050279329609,0.4094488188976378,0.7161547212741752,0.6373873873873874,0.6846153846153846,0.057127602776294716,0.7138121546961326,0.9194847020933977,0.2318259874069834,NA,0.7333589842247018,2.076440387906446,2.7656765676567656,2.1668478260869564,2.5903814262023217
2000,0.7874859075535513,0.4067796610169492,0.8851540616246498,0.4224478285391991,0.805603201829617,0.39105829088851163,0.3987556561085973,0.6807909604519774,0.5790960451977402,0.6620727673649394,0.05822102425876011,0.701783723522854,0.9141932002158661,0.2329479768786127,NA,0.6877192982456141,2.068355922215675,2.6668514412416853,2.2816901408450705,2.532668881506091
2002,0.7845982142857143,0.4479283314669653,0.9156492785793563,0.4439461883408072,0.7966850828729282,0.4201117318435754,0.43,0.6753100338218715,0.5900900900900901,0.7055359246171967,0.09131905298759865,0.7317365269461078,0.9050279329608939,0.21841794569067297,NA,0.6873088685015291,2.182126696832579,2.698218262806236,2.2153163152053272,2.552338530066815
2004,0.7289719626168224,0.4176334106728538,0.8597914252607184,0.41025641025641024,0.7622950819672131,0.40877598152424943,0.4056271981242673,0.6842709529276694,0.6114285714285714,0.7048780487804878,0.10320284697508897,0.7267156862745098,0.8938156359393232,0.2541966426858513,NA,0.6801909307875895,2.108294930875576,2.71923937360179,2.177257525083612,2.635955056179775
2006,0.7421875,0.42493506493506494,0.8789610389610389,0.4263485477178423,0.7756276150627615,0.40134297520661155,0.4043321299638989,0.68,0.607904316172647,0.6623931623931624,0.12265135699373696,0.7305838243170862,0.8917393535146229,0.2283422459893048,NA,0.6696269982238011,2.1740041928721174,2.733739837398374,2.148580121703854,2.6183943089430892
2008,0.7478397486252946,0.4471042471042471,0.8918287937743191,0.42868157286044717,0.7671875,0.41199077632590314,0.423728813559322,0.6731391585760518,0.6026541764246682,0.6921875,0.14242652599849284,0.741837509491268,0.8881481481481481,0.265224358974359,NA,0.6640378548895899,2.316784869976359,2.7224770642201834,2.0643939393939394,2.687308868501529
2010,0.7518367346938776,0.47996729354047424,0.8709150326797386,0.45491470349309504,0.7991902834008097,0.42671009771986973,0.43658536585365854,0.6789056875449964,0.6056644880174292,0.6741140215716487,0.14274981217129978,0.697869101978691,0.860207100591716,0.21243523316062177,NA,0.6751691827173347,2.4742436631234668,2.7736248236953456,1.9943820224719102,2.7310686482661004
2012,0.7459415584415584,0.46308186195826645,0.8812042310821806,0.442741935483871,0.765040650406504,0.42776886035313,0.4439102564102564,0.6784,0.5902943516308672,0.6880375293197811,0.14791987673343607,0.7421630094043887,0.880517503805175,0.2,NA,0.6485745614035088,2.5012106537530268,2.814785992217899,2.0626934984520124,2.7461059190031154
2014,0.7538273116962645,0.47503045066991473,0.8816029143897997,0.45719489981785066,0.7833026396562308,0.4318594791035736,0.4513006654567453,0.6932591218305504,0.602328431372549,0.6606587942821628,0.14579552329098608,0.6746081504702194,0.8754512635379061,0.17998741346758967,NA,0.6431273644388399,2.6480920654149003,2.8398791540785497,1.9867947178871548,2.8242022877784465
2016,0.7516666666666667,0.4712013165112452,0.8885209713024282,0.44638949671772427,0.7795580110497238,0.4266230223677032,0.46243093922651934,0.7368995633187773,0.6553610503282276,0.6886993603411514,0.16754201680672268,0.6865353911655135,0.8555844155844156,0.1953514111787493,NA,0.6044526901669759,2.7093023255813953,2.935363247863248,1.9563365282215122,2.8736
2018,0.7744510978043913,0.5138705416116248,0.9004614370468029,0.4934210526315789,0.7949400798934754,0.46174142480211083,0.5013123359580053,0.7272727272727273,0.6519706078824316,0.6360567184334909,0.16721744877726372,0.685500340367597,0.8574231523871811,0.1380920613742495,NA,0.6315549475604195,2.8615384615384616,2.965695792880259,1.9974193548387096,2.8561197916666665
2021,0.7846689895470383,0.5905898876404494,0.9014675052410901,0.5789473684210527,0.8468531468531468,0.5705263157894737,0.5640060240963856,0.709726443768997,0.7318481848184818,0.6846153846153846,0.2126044039483675,0.5983327017809776,0.7858787413660783,NA,NA,0.561536517563811,3.0471083875909613,3.1322008862629245,1.8165070007369197,2.9700775766531216
2022,0.800178412132025,0.6096256684491979,0.9299474605954466,0.6039076376554174,0.8621597892888498,0.587819947043248,0.5889084507042254,0.7519181585677749,0.712511091393079,0.6520994001713796,0.1946826758147513,0.5986218776916451,0.7721088435374149,0.1520979020979021,NA,0.6026946107784431,3.0044464206313917,3.028109028960818,1.9318950930626058,2.89778534923339
2024,0.8053735255570118,0.5755584756898817,0.9241157556270096,0.5676028739386022,0.8489208633093526,0.5442622950819672,0.5985981308411215,0.7069943289224953,0.6340136054421769,0.6633027522935779,0.2040243331773514,0.6055088702147525,0.7897623400365631,0.18385650224215247,NA,0.6013546202225447,2.8103529411764705,2.8973172987974096,1.973708487084871,2.830933581049698
